Dataset,N,Mismatch,FlipTry,Flipped,Flip_Percentage
mu284.csv,284,-1,2,26,9.15
AP_Uterus_Kidney.csv,384,-1,3,1,0.26
CostaMadre1.csv,296,-1,2,0,0.00
analcatdata_boxing1.csv,120,-1,1,0,0.00
machine_cpu.csv,209,-1,2,1,0.48
chatfield_4.csv,235,-1,2,18,7.66
ar1.csv,121,-1,1,1,0.83
haberman.csv,306,-1,3,0,0.00
analcatdata_michiganacc.csv,108,-1,1,4,3.70
fri_c0_250_10.csv,250,-1,2,18,7.20
sonar.csv,208,-1,2,2,0.96
AP_Endometrium_Uterus.csv,185,-1,1,0,0.00
newton_hema.csv,140,-1,1,47,33.57
fri_c3_250_25.csv,250,-1,2,48,19.20
AP_Endometrium_Ovary.csv,259,-1,2,0,0.00
