Dataset,n,col_size,Iteration,Accuracy
humandevel.csv,130,1,1,0.8769
fri_c3_100_50.csv,100,50,0,0.9700
fri_c3_100_50.csv,100,50,1,0.9700
fri_c4_100_100.csv,100,100,0,0.9900
fri_c4_100_100.csv,100,100,1,0.9900
kc1-binary.csv,145,94,0,0.9862
kc1-binary.csv,145,94,1,0.9862
kc1-top5.csv,145,94,0,1.0000
kc1-top5.csv,145,94,1,1.0000
lupus.csv,87,3,0,0.7701
lupus.csv,87,3,1,0.7816
molecular-biology_promoters.csv,106,57,0,1.0000
molecular-biology_promoters.csv,106,57,1,1.0000
newton_hema.csv,140,3,0,0.5071
newton_hema.csv,140,3,1,0.5429
planning-relax.csv,182,12,0,0.7143
planning-relax.csv,182,12,1,0.7143
pollution.csv,60,15,0,0.5167
pollution.csv,60,15,1,0.9667
postoperative_patient_data.csv,88,8,0,0.0227
postoperative_patient_data.csv,88,8,1,0.0227
sleuth_case1201.csv,50,6,0,1.0000
sleuth_case1201.csv,50,6,1,1.0000
promoters.csv,106,58,0,1.0000
promoters.csv,106,58,1,1.0000
rabe_176.csv,70,3,0,0.7286
rabe_176.csv,70,3,1,0.7143
transplant.csv,131,3,0,1.0000
transplant.csv,131,3,1,1.0000
vineyard.csv,52,2,0,0.8654
vineyard.csv,52,2,1,0.8654
visualizing_hamster.csv,73,5,0,0.5479
visualizing_hamster.csv,73,5,1,0.9315
visualizing_livestock.csv,130,2,0,0.8692
visualizing_livestock.csv,130,2,1,0.8846
witmer_census_1980.csv,50,4,0,0.8800
witmer_census_1980.csv,50,4,1,0.9400
AP_Endometrium_Ovary.csv,259,10935,0,0.9961
AP_Lung_Uterus.csv,250,10935,0,0.9840
AP_Omentum_Lung.csv,203,10935,0,0.9951
AP_Omentum_Ovary.csv,275,10935,0,0.9927
AP_Omentum_Uterus.csv,201,10935,0,1.0000
AP_Prostate_Ovary.csv,267,10935,0,1.0000
BurkittLymphoma.csv,220,22283,0,0.2182
230_machine_cpu.csv,209,6,0,0.0000
505_tecator.csv,240,124,0,0.0000
560_bodyfat.csv,252,14,0,0.0040
561_cpu.csv,209,7,0,0.0000
579_fri_c0_250_5.csv,250,5,0,0.0000
596_fri_c2_250_5.csv,250,5,0,0.0000
601_fri_c1_250_5.csv,250,5,0,0.0000
602_fri_c3_250_10.csv,250,10,0,0.0000
603_fri_c0_250_50.csv,250,50,0,0.0000
605_fri_c2_250_25.csv,250,25,0,0.0000
613_fri_c3_250_5.csv,250,5,0,0.0000
615_fri_c4_250_10.csv,250,10,0,0.0000
653_fri_c0_250_25.csv,250,25,0,0.0000
657_fri_c2_250_10.csv,250,10,0,0.0000
658_fri_c3_250_25.csv,250,25,0,0.0000
635_fri_c0_250_10.csv,250,10,0,0.0000
644_fri_c4_250_25.csv,250,25,0,0.0000
647_fri_c1_250_10.csv,250,10,0,0.0000
648_fri_c1_250_50.csv,250,50,0,0.0000
695_chatfield_4.csv,235,12,0,0.0255
712_chscase_geyser1.csv,222,2,0,0.0000
CostaMadre1.csv,296,37,0,0.9966
arcene.csv,200,10000,0,1.0000
229_pwLinear.csv,200,10,0,0.0000
analcatdata_reviewer.csv,274,1,0,0.5803
analcatdata_reviewer.csv,274,1,1,0.6314
badges2.csv,294,10,0,0.7143
badges2.csv,294,10,1,1.0000
fri_c0_250_10.csv,250,10,0,0.5000
fri_c0_250_10.csv,250,10,1,0.5000
fri_c4_250_10.csv,250,10,0,0.5320
fri_c4_250_10.csv,250,10,1,0.8960
fri_c4_250_25.csv,250,25,0,0.7200
fri_c4_250_25.csv,250,25,1,0.9960
heart-long-beach.csv,200,13,0,0.2550
lungcancer_GSE31210.csv,226,23,0,0.8451
lungcancer_GSE31210.csv,226,23,1,0.8451
prnn_crabs.csv,200,7,0,1.0000
prnn_crabs.csv,200,7,1,1.0000
sonar.csv,208,60,0,0.9904
sonar.csv,208,60,1,0.9904
pwLinear.csv,200,10,0,1.0000
rmftsa_ctoarrivals.csv,264,2,0,0.7386
tecator.csv,240,124,0,1.0000
tecator.csv,240,124,1,0.9958
thyroid-new.csv,215,5,0,0.6977
