Dataset,Row,Col,Accuracy_A,Accuracy_B,Accuracy_D,Loss_A,Loss_B,Loss_D,Validation_Accuracy_A,Validation_Accuracy_B,Validation_Accuracy_D,Validation_Loss_A,Validation_Loss_B,Validation_Loss_D,Delta_Training_Accuracy,Delta_Validation_Accuracy,Delta_Training_Loss,Delta_Validation_Loss,Training_Accuracy_Win_Count,Training_Accuracy_Lose_Count,Training_Accuracy_Same_Count,Training_Loss_Win_Count,Training_Loss_Lose_Count,Validation_Accuracy_Win_Count,Validation_Accuracy_Lose_Count,Validation_Accuracy_Same_Count,Validation_Loss_Win_Count,Validation_Loss_Lose_Count,ARI
AP_Prostate_Ovary.csv,267,10935,0.9744392279603546,0.9744392279603546,0.9739175795513823,0.10914248693734405,0.08575970105205971,2.5931560481484563,0.9465020576131687,0.9423868312757201,0.8374485596707819,0.1440350334677431,0.1343403627268142,5.763134722080496,Decreased,Decreased,Increased,Increased,0,1,8,4,5,1,5,3,1,8,0
AP_Prostate_Uterus.csv,193,10935,1.0,1.0,1.0,0.025455721988691914,0.023048419039696413,0.021065108077891588,0.9871794871794872,0.9871794871794872,0.8397435897435899,0.0656798959098523,0.06418996567663265,0.3460376830771565,Same,Decreased,Decreased,Increased,0,0,8,4,4,0,3,5,0,8,0
AP_Uterus_Kidney.csv,384,10935,0.9833061889250815,0.9837133550488599,0.98371335504886,0.08523024898022408,0.0716994707472622,0.07033817330375308,0.961038961038961,0.9626623376623377,0.7305194805194806,0.1344467923045158,0.12647686153650278,0.7147401254624128,Increased,Decreased,Decreased,Increased,2,2,4,4,4,0,7,1,0,8,0
CostaMadre1.csv,296,37,0.8742937853107344,0.8742937853107344,0.8742937853107344,0.3269679811265733,0.31709153784645927,0.3369609746668074,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.3708239992459615,0.37071023715866935,0.38157671358850265,Same,Same,Increased,Increased,0,0,9,2,7,0,0,9,2,7,0
KnuggetChase3.csv,194,39,0.8120967741935483,0.8120967741935483,0.8120967741935483,0.4376721791923046,0.43129754438996315,0.4479207769036293,0.8237179487179488,0.8237179487179488,0.8237179487179488,0.4449378326535225,0.4447786919772625,0.4466867297887802,Same,Same,Increased,Increased,0,0,8,4,4,0,0,8,3,5,0
KungChi3.csv,123,39,0.8635204081632653,0.8635204081632653,0.8635204081632653,0.3499875105917454,0.3378407023847103,0.36961448192596436,0.895,0.895,0.895,0.3146494533866644,0.30851104855537415,0.3234492000192404,Same,Same,Increased,Increased,0,0,8,1,7,0,0,8,1,7,0
MeanWhile1.csv,253,37,0.8921892189218923,0.8921892189218923,0.8921892189218923,0.29500699374410844,0.2875298460324605,0.31055982245339286,0.8976034858387799,0.8976034858387799,0.8976034858387799,0.29772521720992196,0.29482358859644997,0.30136296318637,Same,Same,Increased,Increased,0,0,9,1,8,0,0,9,4,5,0
MegaWatt1.csv,253,37,0.8921892189218923,0.8921892189218923,0.8921892189218923,0.2972858250141144,0.2903004089991252,0.3051306406656901,0.8976034858387799,0.8976034858387799,0.8976034858387799,0.2985536621676551,0.2953150123357773,0.30381324225001866,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,3,6,0
SPECT.csv,267,22,0.7918622848200313,0.7918622848200313,0.7918622848200313,0.33924080928166706,0.32827576994895935,7.350972950458527,0.8024691358024691,0.8024691358024691,0.8024691358024691,0.3685905188322067,0.3658579538265864,6.117282460133235,Same,Same,Increased,Increased,0,0,6,0,6,0,0,6,2,4,0
acute-inflammations.csv,120,6,0.8391203703703705,0.8391203703703705,0.8391203703703705,0.24160440511898035,0.23510282811346567,7.103660957525587,0.8564814814814815,0.8564814814814815,0.8564814814814815,0.23268119038807017,0.23260720008208102,4.792098481175748,Same,Same,Increased,Increased,0,0,9,5,4,0,0,9,4,5,0
analcatdata_boxing1.csv,120,3,0.6516203703703703,0.6516203703703703,0.6516203703703703,0.6483326024479337,0.6440421673986647,34.83796268039279,0.6435185185185186,0.6435185185185186,0.6435185185185186,0.6428050465053983,0.6431881255573697,35.64814821879069,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,0,9,0
analcatdata_boxing2.csv,132,3,0.4962962962962963,0.5259259259259259,0.51005291005291,0.6939326524734497,0.6861588425106473,31.872065292464363,0.5761316872427984,0.5884773662551441,0.5637860082304527,0.6833311915397644,0.6829080647892423,27.80247124036153,Decreased,Decreased,Increased,Increased,1,2,6,1,8,1,2,6,2,7,0
analcatdata_challenger.csv,138,2,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.2345436529980765,0.23254600332842928,0.2459607687261369,0.9404761904761906,0.9404761904761906,0.9404761904761906,0.22169807222154403,0.22014912466208136,0.22354243364599016,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,5,4,0
analcatdata_chlamydia.csv,100,3,0.8152777777777778,0.8152777777777778,0.8250000000000001,0.363245169321696,0.35276511642667985,0.3451167609956529,0.7888888888888889,0.7888888888888889,0.7888888888888889,0.4102740039428075,0.40856646994749707,0.4090845353073544,Increased,Same,Decreased,Increased,2,0,7,7,2,1,1,7,4,5,0
analcatdata_creditscore.csv,100,6,0.8291666666666667,0.8458333333333333,0.8166666666666668,0.3573707143465678,0.3354192525148392,5.304264307022095,0.8333333333333334,0.8416666666666667,0.8166666666666665,0.41967130204041797,0.4152595301469167,2.8326226572195687,Decreased,Decreased,Increased,Increased,1,3,2,2,4,1,3,2,3,3,0
analcatdata_lawsuit.csv,264,4,0.9465132024373731,0.9580230196343941,0.9424509140148949,0.07248035126498763,0.06638547884566438,0.10263718451772416,0.9487870619946089,0.9460916442048518,0.9433962264150942,0.09171091552291595,0.0870412843567984,0.12639479232685902,Decreased,Decreased,Increased,Increased,1,4,2,3,4,3,2,2,1,6,0
analcatdata_michiganacc.csv,108,3,0.5956072351421189,0.5943152454780363,0.5904392764857881,0.6468201941914029,0.6395049028926425,13.807213551468319,0.7070707070707072,0.7070707070707072,0.702020202020202,0.6099907226032681,0.6114960743321313,9.057207776440514,Decreased,Decreased,Increased,Increased,1,3,5,0,9,1,1,7,2,7,0
analcatdata_neavote.csv,100,2,0.9277777777777779,0.9277777777777779,0.9277777777777779,0.2589692920446396,0.25608257121509975,7.222222222222222,0.9388888888888888,0.9388888888888888,0.9388888888888888,0.2264726451701588,0.2255960032343864,6.111111111111111,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,2,7,0
analcatdata_reviewer.csv,274,1,0.5799086757990868,0.5799086757990868,0.5799086757990868,0.6787472499741448,0.6754645771450467,28.53529691696167,0.5818181818181818,0.5818181818181818,0.5818181818181818,0.6750127342012193,0.6747683352894254,26.89768425623576,Same,Same,Increased,Increased,0,0,9,2,7,0,0,9,1,8,0
analcatdata_seropositive.csv,132,3,0.8428571428571429,0.8452380952380952,0.8297619047619048,0.37418318539857864,0.3649207856506109,0.402641411870718,0.7916666666666667,0.7916666666666667,0.7638888888888888,0.3862552484497428,0.3813201440498233,0.4349133837968111,Decreased,Decreased,Increased,Increased,0,4,4,1,7,0,3,5,0,8,0
analcatdata_wildcat.csv,163,5,0.7230769230769232,0.7341880341880342,0.7282051282051283,0.5132430692513784,0.4935174418820275,0.5196167992220985,0.7138047138047139,0.7070707070707072,0.7037037037037037,0.5162997312015958,0.5013066629568735,0.5282091829511855,Decreased,Decreased,Increased,Increased,0,3,6,2,7,0,1,8,2,7,0
appendicitis.csv,106,7,0.8214285714285715,0.8412698412698413,0.8240740740740741,0.36069735553529525,0.3551124665472243,0.36133308874236214,0.8131313131313131,0.8484848484848484,0.8181818181818181,0.3566490428315269,0.35278956757651436,0.35754047830899555,Decreased,Decreased,Increased,Increased,2,3,4,1,8,0,4,5,2,7,0
ar1.csv,121,29,0.9282407407407407,0.9282407407407407,0.9282407407407407,0.2289444274372524,0.21925848556889424,0.2516360365682178,0.9155555555555553,0.9155555555555553,0.9155555555555553,0.26279417011472916,0.2606287259194586,0.2767422596613566,Same,Same,Increased,Increased,0,0,9,2,7,0,0,9,1,8,0
ar4.csv,107,29,0.8205882352941176,0.8264705882352941,0.8220588235294117,0.3979131616652012,0.38701174408197403,0.3977694921195507,0.8238636363636364,0.8238636363636364,0.8238636363636364,0.38910840079188347,0.3847854230552912,0.39299791492521763,Decreased,Same,Increased,Increased,1,1,6,2,6,0,0,8,2,6,0
ar6.csv,101,29,0.8527777777777777,0.8527777777777777,0.8527777777777777,0.38153619898690116,0.3715895149442885,0.3858088321155972,0.8465608465608465,0.8465608465608465,0.8465608465608465,0.39577342404259575,0.39322005377875435,0.40372387568155926,Same,Same,Increased,Increased,0,0,9,2,7,0,0,9,3,6,0
arcene.csv,200,10000,1.0,1.0,0.9984375,0.17805023957043883,0.11942840600386259,0.1579624572768807,0.8687499999999999,0.86875,0.753125,0.3753174562007189,0.3562636114656925,0.4817313514649868,Decreased,Decreased,Increased,Increased,0,2,6,3,5,1,6,1,2,6,0
autoPrice.csv,159,15,0.9921259842519685,0.9956255468066492,0.9807524059492564,0.09232690599229597,0.07524041872885488,0.11321909560097586,0.9583333333333334,0.9583333333333334,0.9444444444444444,0.14345837881167725,0.13400575187471173,0.16057379047075904,Decreased,Decreased,Increased,Increased,0,8,1,1,8,1,5,3,1,8,0
auto_price.csv,159,15,0.9912510936132983,0.9921259842519685,0.9781277340332459,0.09746706982453662,0.07490373568402392,0.12516184068388403,0.9618055555555556,0.9583333333333334,0.9409722222222222,0.13246699091460967,0.11923549427754344,0.17068284087710905,Decreased,Decreased,Increased,Increased,0,9,0,2,7,1,5,3,2,7,0
backache.csv,180,31,0.8634259259259259,0.8634259259259259,0.8634259259259259,0.33387231164508396,0.3221125387483173,0.3451458513736725,0.8518518518518519,0.8518518518518519,0.8518518518518519,0.3887011508146922,0.388627568880717,0.40532925559414756,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,1,8,0
badges2.csv,294,10,0.9366430260047282,0.9366430260047282,0.9366430260047282,0.14245404393619132,0.13877141713682142,6.36136399809685,0.935969868173258,0.935969868173258,0.935969868173258,0.14258703936098346,0.1412471935877369,6.4255822487175465,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,0,9,0
blogger.csv,100,5,0.6833333333333331,0.6833333333333331,0.6833333333333331,0.6273567742771573,0.6231371892823113,31.666666666666668,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6290354794926114,0.6290361947483487,33.333333333333336,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,0,9,0
breast-cancer-dropped-missing-attributes-values.csv,277,9,0.710910005027652,0.710910005027652,0.710910005027652,0.5572011404567294,0.5519417590565152,0.5738928649160597,0.6944444444444444,0.6944444444444444,0.6944444444444444,0.5832516948382059,0.584418214029736,0.5960343811247084,Same,Same,Increased,Increased,0,0,9,1,8,0,0,9,1,8,0
breast_cancer.csv,286,9,0.7041910331384016,0.7041910331384016,0.7041910331384016,0.5731412967046102,0.5621435112423367,0.5863855746057298,0.6973180076628352,0.6973180076628352,0.6973180076628352,0.5800563957956102,0.5735199517673917,0.5928084850311279,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,0,9,0
bupa.csv,345,5,0.6187600644122383,0.6316425120772947,0.6139291465378423,0.654187473985884,0.6490697264671326,11.2137158314387,0.6167471819645733,0.6392914653784219,0.6103059581320451,0.6522316071722243,0.6457637747128805,12.098063833183712,Decreased,Decreased,Increased,Increased,2,6,1,1,8,2,4,3,1,8,0
chatfield_4.csv,235,12,0.9349881796690307,0.9338061465721039,0.9338061465721039,0.242536316315333,0.23208146293958024,0.23565840555561912,0.8912529550827425,0.8912529550827425,0.884160756501182,0.2972519099712372,0.29133738742934334,0.29379842678705853,Same,Decreased,Increased,Increased,1,1,7,5,4,0,3,6,4,5,0
chscase_census2.csv,400,7,0.507638888888889,0.5128472222222222,0.5135416666666666,0.6932449009683397,0.6922213633855184,11.164544794294569,0.4833333333333333,0.4680555555555555,0.47638888888888886,0.6945505142211914,0.696012450589074,12.761042535305023,Increased,Increased,Increased,Increased,2,1,6,3,6,1,0,8,6,3,0
chscase_census3.csv,400,7,0.5100694444444444,0.5215277777777777,0.5215277777777777,0.6929294599427117,0.6916021505991617,0.6917333602905273,0.538888888888889,0.5152777777777778,0.5152777777777778,0.6910348998175727,0.6937700576252408,0.6936008599069383,Same,Same,Increased,Decreased,1,1,7,3,6,0,0,9,5,4,0
chscase_census4.csv,400,7,0.5246527777777777,0.5194444444444444,0.5215277777777778,0.6922663317786323,0.6919607387648689,0.691935227976905,0.5097222222222223,0.5055555555555555,0.5083333333333333,0.6944311724768745,0.6950178543726603,0.6948687103059557,Increased,Increased,Decreased,Decreased,2,1,6,3,6,2,1,6,6,3,0
chscase_census5.csv,400,7,0.5204861111111111,0.525,0.523611111111111,0.6926107075479295,0.6918345358636644,0.6918046871821085,0.5111111111111111,0.5125,0.5055555555555555,0.6931884818606906,0.6954131258858575,0.6953058905071683,Decreased,Decreased,Decreased,Decreased,2,2,5,5,4,1,2,6,4,5,0
chscase_census6.csv,400,6,0.5871527777777777,0.5871527777777777,0.5871527777777777,0.6779702570703294,0.6773815618620979,0.6775677336586846,0.5888888888888889,0.5888888888888889,0.5888888888888889,0.6782320009337531,0.6791239314609103,0.6792464388741387,Same,Same,Increased,Increased,0,0,9,1,8,0,0,9,4,5,0
chscase_funds.csv,185,2,0.5968468468468467,0.6096096096096094,0.6073573573573573,0.6520815226766798,0.638682848877377,21.294932769404518,0.5825825825825827,0.5735735735735736,0.5765765765765766,0.6628768708970811,0.6531995534896851,21.076624704731834,Decreased,Increased,Increased,Increased,0,2,7,0,9,1,0,8,0,9,0
chscase_geyser1.csv,222,2,0.800376647834275,0.8342749529190207,0.7972379158819837,0.4344603485531277,0.39080074098375106,13.615699996550878,0.8296296296296296,0.8592592592592594,0.8271604938271605,0.39944298565387726,0.3610808634095722,12.807989484734005,Decreased,Decreased,Increased,Increased,1,5,3,0,9,0,2,7,0,9,0
cleve.csv,303,13,0.8094008264462811,0.8527892561983471,0.8016528925619835,0.44857975095510483,0.4076135829091072,0.4606873653829098,0.7643442622950819,0.7889344262295082,0.7725409836065573,0.5041897222399712,0.47880231589078903,0.5073813386261463,Decreased,Decreased,Increased,Increased,0,8,0,0,8,3,3,2,2,6,0
cloud.csv,108,7,0.7157622739018087,0.7157622739018087,0.7157622739018087,0.6142235464519925,0.6073908938301934,25.132557544443344,0.6565656565656565,0.6565656565656565,0.6565656565656565,0.633850614229838,0.6358556946118673,31.378362291389042,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,1,8,0
corral.csv,160,6,0.9279513888888888,0.9357638888888888,0.9279513888888888,0.23513277206155989,0.20365707948803902,0.24015625483459896,0.9097222222222222,0.9201388888888888,0.9166666666666666,0.2680889583296246,0.24061883365114525,0.26216640406184727,Decreased,Decreased,Increased,Increased,1,1,7,1,8,2,1,6,3,6,0
datatrieve.csv,130,8,0.9188034188034189,0.9188034188034189,0.9188034188034189,0.25127702785862815,0.24666394790013632,0.2741614613268111,0.9017094017094018,0.9017094017094018,0.9017094017094018,0.2893704805109236,0.28847719728946686,0.31338421172565883,Same,Same,Increased,Increased,0,0,9,0,9,0,0,9,1,8,0
diggle_table_a2.csv,310,8,0.921875,0.9380040322580645,0.9324596774193548,0.11427133227698501,0.10873632016591724,0.11697695357725019,0.9435483870967742,0.9233870967741935,0.9173387096774194,0.11469788686372334,0.11131431965623048,0.12482758483383802,Decreased,Decreased,Increased,Increased,1,2,5,3,5,0,1,7,3,5,0
fertility.csv,100,9,0.8791666666666667,0.8791666666666667,0.8791666666666667,0.36429943641026813,0.35929810007413227,0.3717062473297119,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.35745901034937966,0.35775306655300987,0.3533996989329656,Same,Same,Increased,Decreased,0,0,9,3,6,0,0,9,4,5,0
fishcatch.csv,158,6,0.9910714285714284,0.992063492063492,0.9831349206349205,0.05949806189164515,0.04939995752647515,0.08102510496973989,0.9765625,0.9765625,0.95703125,0.077436241088435,0.06909564137458797,0.11121880775317544,Decreased,Decreased,Increased,Increased,0,6,2,0,8,0,3,5,2,6,0
fri_c0_100_10.csv,100,10,0.7777777777777779,0.7777777777777779,0.7736111111111111,0.47072678804397583,0.45951102508438957,0.4914514521757762,0.711111111111111,0.7166666666666667,0.7166666666666667,0.5351038674513499,0.5325262016720242,0.5352735188272264,Decreased,Same,Increased,Increased,2,2,5,2,7,2,2,5,3,6,0
fri_c0_100_25.csv,100,25,0.7486111111111112,0.8152777777777778,0.7430555555555556,0.4981578273905648,0.43120157221953076,12.174907550215721,0.6333333333333333,0.6111111111111112,0.6111111111111112,0.6137487921449873,0.5958230098088583,8.806216882334816,Decreased,Same,Increased,Increased,0,7,2,0,9,1,4,4,2,7,0
fri_c0_100_5.csv,100,5,0.688888888888889,0.6875000000000001,0.6875,0.5612770550780826,0.5548062258296542,25.610596266057755,0.6888888888888888,0.6888888888888888,0.6777777777777777,0.5458469622664981,0.5416899720827738,26.284989207983017,Decreased,Decreased,Increased,Increased,2,2,5,0,9,0,2,7,1,8,0
fri_c0_100_50.csv,100,50,0.6847222222222222,0.8263888888888888,0.6777777777777778,0.573876119322247,0.5066526995764838,11.531794192062485,0.5333333333333333,0.6388888888888888,0.5388888888888889,0.652991814745797,0.6269731852743361,12.72216228644053,Decreased,Decreased,Increased,Increased,0,6,3,2,7,1,5,3,3,6,0
fri_c0_250_10.csv,250,10,0.715,0.7533333333333333,0.7111111111111111,0.5124523904588487,0.47610704766379464,6.443618519438638,0.7155555555555555,0.7444444444444445,0.7244444444444444,0.5419535835584005,0.5118965374098884,4.248700698216756,Decreased,Decreased,Increased,Increased,1,5,3,0,9,3,2,4,2,7,0
fri_c0_250_25.csv,250,25,0.7277777777777777,0.7733333333333333,0.726111111111111,0.5044861005412208,0.460775140259001,0.5123870670795441,0.6333333333333333,0.6555555555555557,0.6422222222222224,0.57213580277231,0.5458084113068051,0.5683509078290727,Decreased,Decreased,Increased,Increased,1,4,4,1,8,4,2,3,6,3,0
fri_c0_250_5.csv,250,5,0.7922222222222222,0.8305555555555555,0.8288888888888888,0.47592583960956997,0.4420134590731727,0.45715681380695766,0.7666666666666667,0.8044444444444445,0.8022222222222222,0.47297315465079415,0.4485071069664425,0.4651461707221137,Decreased,Decreased,Increased,Increased,2,5,2,1,8,1,2,6,0,9,0
fri_c0_250_50.csv,250,50,0.8483333333333333,0.8511111111111112,0.84,0.3876504881514443,0.37234776053163743,0.40937238931655884,0.7066666666666667,0.7088888888888889,0.7088888888888889,0.5433154536618127,0.5437451534801059,0.5599552525414361,Decreased,Same,Increased,Increased,0,6,3,1,8,2,2,5,2,7,0
fri_c1_100_10.csv,100,10,0.6236111111111111,0.625,0.6347222222222223,0.6482217642996047,0.6435388127962748,16.24205152855979,0.5555555555555556,0.5555555555555556,0.5777777777777778,0.6698621643914117,0.6703279349539015,15.425565328862932,Increased,Increased,Increased,Increased,4,0,5,2,7,3,0,6,6,3,0
fri_c1_100_25.csv,100,25,0.7208333333333333,0.7263888888888889,0.7333333333333333,0.5762255622280968,0.5654706491364373,10.551200184557173,0.5944444444444444,0.6000000000000001,0.5888888888888888,0.645598464541965,0.6468467050128512,12.15600581963857,Increased,Decreased,Increased,Increased,2,2,5,4,5,0,2,7,4,5,0
fri_c1_100_5.csv,100,5,0.5819444444444444,0.5861111111111111,0.576388888888889,0.6579960319730971,0.6531757977273729,29.93063540591134,0.5888888888888889,0.5833333333333334,0.5666666666666668,0.6727563209003873,0.6762857966952853,31.322488453653122,Decreased,Decreased,Increased,Increased,1,2,6,1,8,1,2,6,2,7,0
fri_c1_100_50.csv,100,50,0.6027777777777777,0.6083333333333334,0.5972222222222222,0.6470743086602952,0.6403754750887553,29.23272728919983,0.5611111111111112,0.5611111111111112,0.5666666666666667,0.6717096169789633,0.6726184553570218,30.773995849821304,Decreased,Increased,Increased,Increased,0,2,7,1,8,1,1,7,2,7,0
fri_c1_250_10.csv,250,10,0.7127777777777777,0.7372222222222222,0.7055555555555556,0.5746915340423584,0.5547758572631412,10.202552053663466,0.6733333333333333,0.6822222222222223,0.6733333333333333,0.6158560580677457,0.6008251938554976,10.226017812887827,Decreased,Decreased,Increased,Increased,2,6,1,4,5,3,3,3,5,4,0
fri_c1_250_25.csv,250,25,0.7127777777777777,0.7177777777777777,0.6861111111111111,0.6060877309905158,0.5989811155531142,0.6164187722735934,0.6444444444444444,0.6511111111111112,0.6622222222222222,0.6345029804441664,0.6327444248729281,0.6394082572725084,Decreased,Increased,Increased,Increased,0,8,1,0,9,5,1,3,2,7,0
fri_c1_250_5.csv,250,5,0.6616666666666666,0.6616666666666666,0.6372222222222222,0.6207414401902093,0.616894417338901,21.378682964377933,0.6511111111111112,0.6422222222222221,0.62,0.623811748292711,0.6243138942453597,21.874735090467667,Decreased,Decreased,Increased,Increased,0,5,4,1,8,0,3,6,1,8,0
fri_c1_250_50.csv,250,50,0.7505555555555556,0.7366666666666667,0.7305555555555556,0.5860860778225793,0.5677758587731255,10.817010207308662,0.6377777777777777,0.6222222222222222,0.6288888888888889,0.6527888708644443,0.6541619300842285,9.173002077473534,Decreased,Increased,Increased,Increased,1,6,2,3,6,5,1,3,2,7,0
fri_c2_100_10.csv,100,10,0.7069444444444444,0.7305555555555555,0.7041666666666667,0.5597359968556298,0.549222038851844,10.543919798400667,0.7,0.711111111111111,0.7,0.5864798360400729,0.5857917070388794,9.869755374060738,Decreased,Decreased,Increased,Increased,1,4,4,3,6,2,3,4,6,3,0
fri_c2_100_25.csv,100,25,0.734375,0.734375,0.7312500000000001,0.5851639583706856,0.576962023973465,20.56182860583067,0.58125,0.5874999999999999,0.56875,0.6303943544626236,0.6334025152027607,26.54909410700202,Decreased,Decreased,Increased,Increased,1,3,4,2,6,1,2,5,2,6,0
