Dataset,n,col_size,Iteration,Accuracy
KnuggetChase3.csv,194,39,0,1.0000
KungChi3.csv,123,39,0,1.0000
KungChi3.csv,123,39,1,0.9919
KungChi3.csv,123,39,2,0.9919
KungChi3.csv,123,39,3,0.9919
MindCave2.csv,125,39,0,0.9920
MyIris.csv,150,4,0,0.3333
Smartphone-Based_Recognition_of_Human_Activities.csv,180,66,0,0.1667
tumors_C.csv,60,7129,0,0.9833
tumors_C.csv,60,7129,1,1.0000
tumors_C.csv,60,7129,2,1.0000
tumors_C.csv,60,7129,3,1.0000
acute-inflammations.csv,120,6,0,1.0000
aids.csv,50,4,0,0.7400
aids.csv,50,4,1,0.8800
analcatdata_aids.csv,50,4,0,0.7400
analcatdata_aids.csv,50,4,1,0.8800
analcatdata_asbestos.csv,83,3,0,0.8313
analcatdata_asbestos.csv,83,3,1,0.9036
analcatdata_asbestos.csv,83,3,2,0.8916
analcatdata_bankruptcy.csv,50,5,0,0.9800
analcatdata_gsssexsurvey.csv,159,9,0,0.7799
analcatdata_gviolence.csv,74,8,0,1.0000
analcatdata_happiness.csv,60,3,0,0.3333
analcatdata_homerun.csv,163,26,0,0.6196
analcatdata_japansolvent.csv,52,8,0,0.9808
analcatdata_michiganacc.csv,108,3,0,0.7685
analcatdata_michiganacc.csv,108,3,1,0.7685
analcatdata_michiganacc.csv,108,3,2,0.7778
analcatdata_michiganacc.csv,108,3,3,0.8056
analcatdata_neavote.csv,100,2,0,0.9300
analcatdata_bondrate.csv,57,10,0,0.5789
analcatdata_boxing1.csv,120,3,0,0.7250
analcatdata_boxing1.csv,120,3,1,0.7333
analcatdata_boxing1.csv,120,3,2,0.7750
analcatdata_boxing2.csv,132,3,0,0.7576
analcatdata_broadway.csv,95,7,0,0.1158
analcatdata_challenger.csv,138,2,0,0.9348
analcatdata_chlamydia.csv,100,3,0,0.8100
analcatdata_chlamydia.csv,100,3,1,0.8100
analcatdata_chlamydia.csv,100,3,2,0.8100
analcatdata_chlamydia.csv,100,3,3,0.8100
analcatdata_creditscore.csv,100,6,0,1.0000
analcatdata_cyyoung8092.csv,97,10,0,1.0000
analcatdata_cyyoung9302.csv,92,9,0,0.9891
analcatdata_election2000.csv,67,14,0,1.0000
analcatdata_election2000.csv,67,14,1,1.0000
analcatdata_negotiation.csv,92,5,0,0.2826
analcatdata_olympic2000.csv,66,11,0,1.0000
analcatdata_olympic2000.csv,66,11,1,1.0000
analcatdata_runshoes.csv,60,10,0,0.6000
analcatdata_seropositive.csv,132,3,0,0.9773
analcatdata_wildcat.csv,163,5,0,0.8282
analcatdata_wildcat.csv,163,5,1,0.8405
appendicitis.csv,106,7,0,0.9340
appendicitis.csv,106,7,1,0.9340
appendicitis.csv,106,7,2,0.9434
ar1.csv,121,29,0,0.9752
ar1.csv,121,29,1,0.9835
ar1.csv,121,29,2,0.9835
ar1.csv,121,29,3,0.9835
ar3.csv,63,29,0,0.9683
ar3.csv,63,29,1,0.9683
ar3.csv,63,29,2,0.9683
ar3.csv,63,29,3,0.9683
ar4.csv,107,29,0,0.9907
ar6.csv,101,29,0,1.0000
auto93.csv,93,22,0,0.6237
autoPrice.csv,159,15,0,1.0000
auto_price.csv,159,15,0,1.0000
backache.csv,180,31,0,1.0000
backache.csv,180,31,1,1.0000
backache.csv,180,31,2,1.0000
backache.csv,180,31,3,1.0000
baskball.csv,96,4,0,0.5104
blogger.csv,100,5,0,0.8800
blogger.csv,100,5,1,0.9200
breast-tissue.csv,106,9,0,0.2075
bridges.csv,107,11,0,0.4112
chscase_funds.csv,185,2,0,0.7135
chscase_funds.csv,185,2,1,0.7027
chscase_funds.csv,185,2,2,0.7027
chscase_health.csv,50,3,0,0.7200
chscase_health.csv,50,3,1,0.7200
chscase_health.csv,50,3,2,0.7400
chscase_health.csv,50,3,3,0.7600
chscase_vine1.csv,52,9,0,1.0000
chscase_vine1.csv,52,9,1,1.0000
confidence.csv,72,3,0,0.1667
corral.csv,160,6,0,1.0000
cloud.csv,108,7,0,0.7037
cloud.csv,108,7,1,0.7963
cm1_req.csv,89,8,0,0.8764
cm1_req.csv,89,8,1,0.8764
echoMonths.csv,126,8,0,0.4762
elusage.csv,55,2,0,0.8909
elusage.csv,55,2,1,0.8909
elusage.csv,55,2,2,0.8909
elusage.csv,55,2,3,0.8909
fertility.csv,100,9,0,0.9800
fishcatch.csv,158,6,0,1.0000
fl2000.csv,67,15,0,0.9851
fl2000.csv,67,15,1,1.0000
fl2000.csv,67,15,2,0.9701
fl2000.csv,67,15,3,1.0000
flags.csv,194,28,0,0.2062
datatrieve.csv,130,8,0,1.0000
dbworld-bodies-stemmed.csv,64,3721,0,0.9688
dbworld-bodies-stemmed.csv,64,3721,1,0.9688
dbworld-bodies-stemmed.csv,64,3721,2,0.9688
dbworld-bodies-stemmed.csv,64,3721,3,0.9688
dbworld-subjects-stemmed.csv,64,229,0,0.9531
dbworld-subjects.csv,64,242,0,0.9688
dbworld-subjects.csv,64,242,1,0.9688
dbworld-subjects.csv,64,242,2,0.9688
desharnais.csv,81,11,0,0.3086
fri_c0_100_10.csv,100,10,0,0.9400
fri_c0_100_25.csv,100,25,0,1.0000
fri_c0_100_5.csv,100,5,0,0.9800
fri_c0_100_50.csv,100,50,0,1.0000
fri_c0_100_50.csv,100,50,1,1.0000
fri_c0_100_50.csv,100,50,2,1.0000
fri_c0_100_50.csv,100,50,3,1.0000
fri_c1_100_10.csv,100,10,0,0.7700
fri_c1_100_25.csv,100,25,0,0.9800
fri_c1_100_5.csv,100,5,0,0.9700
fri_c1_100_50.csv,100,50,0,0.9700
fri_c1_100_50.csv,100,50,1,0.9700
fri_c1_100_50.csv,100,50,2,0.9700
fri_c1_100_50.csv,100,50,3,0.9700
fri_c2_100_10.csv,100,10,0,0.9300
fri_c2_100_25.csv,100,25,0,0.9500
fri_c2_100_5.csv,100,5,0,0.9900
fri_c2_100_50.csv,100,50,0,1.0000
fri_c2_100_50.csv,100,50,1,1.0000
fri_c2_100_50.csv,100,50,2,1.0000
fri_c2_100_50.csv,100,50,3,1.0000
hip.csv,54,3,0,0.8148
hip.csv,54,3,1,0.8148
hip.csv,54,3,2,0.8148
hip.csv,54,3,3,0.8148
humandevel.csv,130,1,0,0.8769
humandevel.csv,130,1,1,0.8769
humandevel.csv,130,1,2,0.8769
humandevel.csv,130,1,3,0.8769
hutsof99_logis.csv,70,7,0,0.9857
iris.csv,150,4,0,0.6667
fri_c3_100_10.csv,100,10,0,0.7400
fri_c3_100_25.csv,100,25,0,0.9800
fri_c3_100_5.csv,100,5,0,1.0000
fri_c3_100_50.csv,100,50,0,0.9700
fri_c3_100_50.csv,100,50,1,0.9700
fri_c3_100_50.csv,100,50,2,0.9700
fri_c3_100_50.csv,100,50,3,0.9700
fri_c4_100_10.csv,100,10,0,0.9300
fri_c4_100_100.csv,100,100,0,0.9900
fri_c4_100_100.csv,100,100,1,0.9900
fri_c4_100_100.csv,100,100,2,0.9900
fri_c4_100_100.csv,100,100,3,0.9900
fri_c4_100_25.csv,100,25,0,1.0000
fri_c4_100_50.csv,100,50,0,1.0000
fruitfly.csv,125,4,0,0.6080
glass2.csv,163,9,0,0.8528
grub-damage.csv,155,8,0,0.8903
hayes-roth.csv,160,4,0,0.4000
hayes_roth.csv,160,4,0,0.0000
heart-long-beach.csv,200,13,0,0.2550
heart-switzerland.csv,123,12,0,0.0650
hepatitis.csv,150,18,0,0.2000
kc1-binary.csv,145,94,0,0.9862
kc1-binary.csv,145,94,1,0.9862
kc1-binary.csv,145,94,2,0.9862
kc1-binary.csv,145,94,3,0.9862
kc1-top5.csv,145,94,0,1.0000
kc1-top5.csv,145,94,1,1.0000
kc1-top5.csv,145,94,2,1.0000
kc1-top5.csv,145,94,3,1.0000
kidney.csv,76,6,0,0.9474
parkinsons.csv,195,22,0,1.0000
labor.csv,54,6,0,0.3704
lowbwt.csv,189,9,0,0.9153
lsvt.csv,126,310,0,1.0000
lupus.csv,87,3,0,0.7701
lupus.csv,87,3,1,0.7816
lymph.csv,148,18,0,0.0135
lymphography.csv,148,18,0,0.0000
mbagrade.csv,61,2,0,0.7377
mc2.csv,161,39,0,0.9814
molecular-biology_promoters.csv,106,57,0,1.0000
molecular-biology_promoters.csv,106,57,1,1.0000
molecular-biology_promoters.csv,106,57,2,1.0000
molecular-biology_promoters.csv,106,57,3,1.0000
molecular_biology_promoters.csv,106,57,0,1.0000
mux6.csv,128,6,0,1.0000
newton_hema.csv,140,3,0,0.5071
newton_hema.csv,140,3,1,0.5429
newton_hema.csv,140,3,2,0.7857
pharynx.csv,195,10,0,0.6205
planning-relax.csv,182,12,0,0.7143
planning-relax.csv,182,12,1,0.7143
planning-relax.csv,182,12,2,0.8022
planning-relax.csv,182,12,3,0.7143
pollution.csv,60,15,0,0.5167
pollution.csv,60,15,1,1.0000
pollution.csv,60,15,2,1.0000
pollution.csv,60,15,3,1.0000
postoperative-patient-data.csv,90,8,0,0.7111
postoperative_patient_data.csv,88,8,0,0.0227
postoperative_patient_data.csv,88,8,1,0.0227
postoperative_patient_data.csv,88,8,2,0.0227
postoperative_patient_data.csv,88,8,3,0.0227
prnn_crabs.csv,200,7,0,1.0000
robot-failures-lp1.csv,88,90,0,0.1932
robot-failures-lp4.csv,117,90,0,0.6154
robot-failures-lp5.csv,164,90,0,0.1585
servo.csv,167,4,0,0.9401
sleep.csv,62,7,0,0.4677
sleuth_case1201.csv,50,6,0,1.0000
sleuth_case1201.csv,50,6,1,1.0000
sleuth_case1202.csv,93,6,0,0.9355
sleuth_case2002.csv,147,6,0,0.7891
sleuth_ex1605.csv,62,5,0,0.9355
sleuth_ex2015.csv,60,7,0,1.0000
sleuth_ex2016.csv,87,10,0,0.9655
sponge.csv,76,44,0,0.9211
squash-stored.csv,52,24,0,0.4423
squash-unstored.csv,52,23,0,0.4615
prnn_viruses.csv,61,18,0,0.0492
promoters.csv,106,58,0,1.0000
promoters.csv,106,58,1,1.0000
promoters.csv,106,58,2,1.0000
promoters.csv,106,58,3,1.0000
pwLinear.csv,200,10,0,1.0000
pyrim.csv,74,27,0,1.0000
rabe_131.csv,50,5,0,1.0000
rabe_148.csv,66,5,0,1.0000
rabe_176.csv,70,3,0,0.7286
rabe_176.csv,70,3,1,0.7143
rabe_176.csv,70,3,2,0.7143
rabe_176.csv,70,3,3,0.7286
rabe_265.csv,51,6,0,0.9608
rabe_266.csv,120,2,0,1.0000
tae.csv,151,5,0,0.8278
teachingAssistant.csv,151,6,0,0.3245
transplant.csv,131,3,0,1.0000
transplant.csv,131,3,1,1.0000
triazines.csv,186,60,0,0.9194
veteran.csv,137,7,0,0.9124
vineyard.csv,52,2,0,0.8654
vineyard.csv,52,2,1,0.8654
vineyard.csv,52,2,2,0.8654
vineyard.csv,52,2,3,0.8654
visualizing_environmental.csv,111,3,0,0.7117
visualizing_ethanol.csv,88,2,0,0.6250
visualizing_hamster.csv,73,5,0,0.5479
visualizing_hamster.csv,73,5,1,0.9315
visualizing_livestock.csv,130,2,0,0.8692
visualizing_livestock.csv,130,2,1,0.8846
visualizing_livestock.csv,130,2,2,0.8923
white-clover.csv,63,31,0,0.6032
wine.csv,178,13,0,1.0000
wine_recognition.csv,178,13,0,0.0000
wisconsin.csv,194,32,0,0.8814
witmer_census_1980.csv,50,4,0,0.8800
witmer_census_1980.csv,50,4,1,0.9400
zoo.csv,101,16,0,0.4059
