Dataset,N,Mismatch,FlipTry,Flipped,Flip_Percentage
fri_c1_100_5.csv,100,1,1,9,9.00
fri_c1_100_50.csv,100,1,1,2,2.00
fri_c1_250_10.csv,250,1,1,10,4.00
fri_c1_250_25.csv,250,1,1,5,2.00
fri_c1_250_5.csv,250,1,1,12,4.80
fri_c1_250_50.csv,250,1,1,1,0.40
fri_c1_500_10.csv,500,1,1,2,0.40
fri_c1_500_25.csv,500,1,1,1,0.20
fri_c1_500_5.csv,500,1,1,1,0.20
fri_c1_500_50.csv,500,1,1,3,0.60
fri_c2_1000_10.csv,1000,1,1,6,0.60
fri_c2_1000_25.csv,1000,1,1,3,0.30
fri_c2_1000_50.csv,1000,1,1,1,0.10
fri_c2_100_10.csv,100,1,1,1,1.00
fri_c2_100_25.csv,100,1,1,4,4.00
fri_c2_100_5.csv,100,1,1,1,1.00
fri_c2_100_50.csv,100,1,1,3,3.00
fri_c2_250_10.csv,250,1,1,5,2.00
fri_c2_250_25.csv,250,1,1,2,0.80
fri_c2_250_5.csv,250,1,1,1,0.40
fri_c2_250_50.csv,250,1,1,5,2.00
house_votes_84.csv,435,1,1,1,0.23
humandevel.csv,130,1,1,13,10.00
ilpd.csv,583,1,1,4,0.69
ionosphere.csv,351,1,1,4,1.14
iris.csv,150,1,1,1,0.67
fri_c2_500_10.csv,500,1,1,2,0.40
fri_c2_500_25.csv,500,1,1,2,0.40
fri_c2_500_50.csv,500,1,1,2,0.40
fri_c3_1000_10.csv,1000,1,1,2,0.20
fri_c3_1000_25.csv,1000,1,1,1,0.10
fri_c3_1000_5.csv,1000,1,1,2,0.20
fri_c3_1000_50.csv,1000,1,1,4,0.40
fri_c3_100_10.csv,100,1,1,1,1.00
fri_c3_100_25.csv,100,1,1,6,6.00
fri_c3_100_5.csv,100,1,1,3,3.00
fri_c3_100_50.csv,100,1,1,4,4.00
fri_c3_250_10.csv,250,1,1,1,0.40
fri_c3_250_25.csv,250,1,1,2,0.80
fri_c3_250_5.csv,250,1,1,15,6.00
fri_c3_250_50.csv,250,1,1,1,0.40
fri_c3_500_10.csv,500,1,1,2,0.40
fri_c3_500_25.csv,500,1,1,2,0.40
fri_c3_500_5.csv,500,1,1,2,0.40
fri_c3_500_50.csv,500,1,1,3,0.60
fri_c4_1000_25.csv,1000,1,1,1,0.10
fri_c4_1000_50.csv,1000,0,1,0,0.00
fri_c4_100_10.csv,100,1,1,1,1.00
fri_c4_100_25.csv,100,1,1,1,1.00
fri_c4_250_10.csv,250,1,1,4,1.60
fri_c4_250_100.csv,250,1,1,10,4.00
fri_c4_250_25.csv,250,1,1,9,3.60
fri_c4_250_50.csv,250,1,1,1,0.40
fri_c4_500_10.csv,500,1,1,3,0.60
fri_c4_500_100.csv,500,1,1,1,0.20
fri_c4_500_25.csv,500,1,1,3,0.60
fruitfly.csv,125,1,1,2,1.60
german.csv,1000,1,1,11,1.10
glass2.csv,163,1,1,16,9.82
grub-damage.csv,155,1,1,9,5.81
haberman.csv,306,1,1,6,1.96
heart-statlog.csv,270,1,1,1,0.37
heart_c.csv,303,1,1,2,0.66
heart_h.csv,294,1,1,1,0.34
heart_statlog.csv,270,1,1,5,1.85
kc1-binary.csv,145,1,1,9,6.21
kc1-top5.csv,145,1,1,1,0.69
kc2.csv,522,1,1,22,4.21
kc3.csv,458,1,1,5,1.09
parkinsons.csv,195,1,1,27,13.85
pc1_req.csv,320,1,1,2,0.62
lowbwt.csv,189,1,1,3,1.59
lsvt.csv,126,1,1,1,0.79
lungcancer_GSE31210.csv,226,1,1,9,3.98
machine_cpu.csv,209,1,1,1,0.48
mc2.csv,161,1,1,1,0.62
molecular-biology_promoters.csv,106,1,1,3,2.83
molecular_biology_promoters.csv,106,1,1,1,0.94
monk2.csv,601,1,1,9,1.50
monk3.csv,554,2,1,29,5.23
monks-problems-1.csv,556,1,1,1,0.18
monks-problems-2.csv,601,1,1,4,0.67
monks-problems-3.csv,554,1,1,20,3.61
mu284.csv,284,1,1,7,2.46
mw1.csv,403,1,1,12,2.98
newton_hema.csv,140,1,1,1,0.71
no2.csv,500,1,1,1,0.20
pima.csv,768,1,1,1,0.13
planning-relax.csv,182,1,1,2,1.10
plasma_retinol.csv,315,1,1,7,2.22
pm10.csv,500,1,1,11,2.20
prnn_crabs.csv,200,1,1,2,1.00
sa-heart.csv,462,1,1,16,3.46
saheart.csv,462,1,1,1,0.22
sensory.csv,576,1,1,3,0.52
servo.csv,167,1,1,4,2.40
sleuth_case2002.csv,147,1,1,3,2.04
sonar.csv,208,1,1,1,0.48
stock.csv,950,0,1,0,0.00
prnn_synth.csv,250,1,1,8,3.20
profb.csv,672,1,1,6,0.89
promoters.csv,106,1,1,1,0.94
pwLinear.csv,200,1,1,5,2.50
qualitative-bankruptcy.csv,250,1,1,4,1.60
rabe_266.csv,120,1,1,7,5.83
rmftsa_ladata.csv,508,1,1,1,0.20
synthetic_control.csv,600,1,1,8,1.33
tae.csv,151,1,1,2,1.32
tecator.csv,240,1,1,6,2.50
thoracic-surgery.csv,470,1,1,1,0.21
threeOf9.csv,512,1,1,1,0.20
tic-tac-toe.csv,958,1,1,4,0.42
transplant.csv,131,1,1,3,2.29
triazines.csv,186,1,1,1,0.54
veteran.csv,137,1,1,3,2.19
vinnie.csv,380,1,1,8,2.11
visualizing_environmental.csv,111,1,1,14,12.61
visualizing_galaxy.csv,323,1,1,4,1.24
visualizing_livestock.csv,130,1,1,12,9.23
vowel.csv,990,1,1,2,0.20
wdbc.csv,569,1,1,2,0.35
wholesale-customers.csv,440,1,1,2,0.45
wine.csv,178,1,1,2,1.12
wisconsin.csv,194,1,1,24,12.37
