Dataset,Min_Flip,Max_Flip,Median_Flip,Min_F1,Max_F1,Median_F1
MindCave2.csv,0.8,7.2,2.4000000000000004,0.0,0.7575757575757576,0.5332306338028169
PieChart1.csv,0.28,1.42,1.13,0.0,0.0666666666666666,0.0338983050847457
PieChart2.csv,0.13,1.34,0.27,0.0,0.0,0.0
PizzaCutter1.csv,0.15,3.63,0.76,0.0,0.4,0.2040816326530612
SPECT.csv,0.37,9.36,1.87,0.8732394366197183,0.916256157635468,0.8863109048723898
SPECTF.csv,0.29,11.75,0.86,0.8413284132841329,0.9688888888888888,0.9523809523809524
acute-inflammations.csv,1.67,3.33,2.085,1.0,1.0,1.0
analcatdata_apnea1.csv,0.42,3.37,1.365,0.0,0.0,0.0
analcatdata_apnea2.csv,0.84,3.16,1.575,0.0,0.0,0.0
analcatdata_apnea3.csv,0.44,6.22,1.5550000000000002,0.0,0.0,0.0
analcatdata_authorship.csv,0.12,15.1,0.3,0.9989440337909188,1.0,1.0
analcatdata_boxing1.csv,3.33,7.5,4.17,0.7796610169491526,0.8131868131868132,0.7929895081073717
analcatdata_boxing2.csv,0.76,19.7,3.03,0.4954128440366973,0.7870967741935484,0.7305730994152047
analcatdata_challenger.csv,3.62,14.49,5.074999999999999,0.0,0.0,0.0
analcatdata_chlamydia.csv,1.0,22.0,3.0,0.0,0.85,0.1904761904761904
analcatdata_creditscore.csv,1.0,9.0,2.0,0.7692307692307693,0.9774436090225564,0.9219701162147207
analcatdata_lawsuit.csv,0.38,6.06,1.14,0.0,0.967741935483871,0.48
analcatdata_michiganacc.csv,0.93,11.11,2.78,0.0,0.7446808510638298,0.6753246753246753
analcatdata_neavote.csv,14.0,36.0,25.0,0.9595375722543352,0.9655172413793104,0.9625274068168228
analcatdata_seropositive.csv,0.76,9.85,2.65,0.8831168831168831,0.9629629629629628,0.9282534246575342
analcatdata_vineyard.csv,0.21,5.56,1.71,0.0,0.6985915492957746,0.3055555555555556
analcatdata_wildcat.csv,2.45,7.98,4.91,0.0,0.5641025641025641,0.3508771929824561
anthracyclineTaxaneChemotherapy.csv,0.63,36.48,10.065000000000001,0.717391304347826,1.0,0.8974088112844094
appendicitis.csv,1.89,17.92,5.1899999999999995,0.0,0.7142857142857143,0.6225806451612903
ar1.csv,0.83,10.74,3.31,0.0,0.0,0.0
ar4.csv,1.87,23.36,5.140000000000001,0.2,0.7586206896551724,0.5192307692307692
ar6.csv,0.99,6.93,1.98,0.0,0.5555555555555556,0.28717948717948716
arcene.csv,0.5,8.5,2.0,0.0,1.0,0.9361197942926288
arsenic-female-bladder.csv,0.18,3.22,0.89,0.0,0.125,0.0
arsenic-female-lung.csv,0.18,2.33,1.07,0.0,0.8125,0.7857142857142857
arsenic-male-bladder.csv,0.18,3.04,1.1600000000000001,0.0,0.6451612903225806,0.0
arsenic-male-lung.csv,0.18,3.22,1.0750000000000002,0.0,1.0,0.0
autoPrice.csv,0.63,1.89,1.26,0.9607843137254902,1.0,0.9801960784313726
autoUniv-au1-1000.csv,0.1,1.0,0.30000000000000004,0.8509277031349968,0.868421052631579,0.8531181518422184
auto_price.csv,0.63,8.18,1.89,0.9782608695652174,1.0,0.98989898989899
backache.csv,0.56,12.22,5.279999999999999,0.0,0.5806451612903226,0.0
badges2.csv,0.34,3.74,0.68,1.0,1.0,1.0
balance-scale.csv,0.16,3.52,0.32,0.9540412044374008,0.9608763693270737,0.9578386151096439
blogger.csv,2.0,19.0,11.0,0.8,0.8368794326241135,0.8157894736842105
bodyfat.csv,0.4,5.95,1.59,0.9375,1.0,0.9934876717485412
boston.csv,0.2,1.58,0.4,0.8617886178861789,0.8780487804878049,0.8692194009788122
boston_corrected.csv,0.2,0.99,0.59,0.8110831234256927,0.896551724137931,0.8780548761982969
breast-cancer-dropped-missing-attributes-values.csv,0.36,13.36,0.9,0.0,0.5084745762711864,0.14606741573033705
breast.csv,0.14,1.0,0.29,0.9517241379310344,0.9641255605381166,0.954954954954955
breast_cancer.csv,0.35,12.24,0.7,0.0,0.490566037735849,0.3516483516483517
breast_w.csv,0.29,0.43,0.36,0.9567198177676538,0.9636363636363636,0.9601780907020088
buggyCrx.csv,0.14,1.16,0.29,0.8866571018651362,0.9093525179856116,0.8940493468795355
bupa.csv,0.58,6.67,1.595,0.1648351648351648,0.6609071274298056,0.6148716988200038
chatfield_4.csv,0.43,5.11,0.85,0.8553459119496856,0.926829268292683,0.9033310716939679
chscase_census2.csv,0.25,4.75,0.375,0.0,0.6850828729281768,0.5372695698637456
chscase_census3.csv,0.25,4.75,2.0,0.0,0.5954545454545455,0.2389380530973451
chscase_census4.csv,0.25,4.75,0.5,0.0,0.6619718309859155,0.5390428211586902
chscase_census5.csv,0.5,10.25,1.0,0.0,0.6466165413533834,0.2452830188679245
chscase_census6.csv,0.25,4.0,1.0,0.0,0.1118012422360248,0.013338668800853649
chscase_funds.csv,1.62,8.11,3.5100000000000002,0.6929133858267716,0.7733333333333333,0.7257676655567887
chscase_geyser1.csv,0.45,5.41,1.5750000000000002,0.9182879377431906,0.9285714285714286,0.9212598425196852
chscase_vine2.csv,0.21,4.06,1.175,0.0,0.7463556851311953,0.5100743745774172
clean1.csv,0.21,1.05,0.21,0.9947368421052633,1.0,0.9973118085313946
cleve.csv,0.33,0.66,0.66,0.8,0.8492063492063492,0.8320610687022901
climate-model-simulation-crashes.csv,0.37,1.11,0.74,0.9548387096774194,0.960427807486631,0.9559613319011816
cloud.csv,0.93,13.89,2.78,0.8024691358024691,0.8383233532934131,0.8242424242424242
corral.csv,1.88,8.12,4.0649999999999995,0.5812807881773399,1.0,1.0
cpu.csv,0.48,5.74,0.96,0.9532710280373832,0.9894736842105264,0.9839653558052435
credit-g.csv,0.1,4.4,0.2,0.4923857868020304,0.5862068965517241,0.5665961945031712
credit_a.csv,0.14,0.72,0.36,0.8834355828220859,0.9063444108761328,0.8935151918385451
credit_g.csv,0.1,5.1,0.5,0.8211551844119693,0.8408327736736064,0.8303693570451436
crx.csv,0.14,0.87,0.29,0.855098389982111,0.874766355140187,0.8676487983588329
datatrieve.csv,0.77,18.46,6.92,0.0,0.0,0.0
diabetes.csv,0.13,1.04,0.325,0.5365853658536586,0.6555023923444976,0.6236740996746144
diggle_table_a2.csv,0.32,2.58,0.97,0.8987341772151899,0.9966101694915256,0.9897606150620305
disclosure_x_bias.csv,0.3,2.42,0.6,0.0,0.5086042065009561,0.4651162790697674
disclosure_x_noise.csv,0.15,2.72,0.45,0.2877358490566037,0.673355629877369,0.6462765957446809
disclosure_x_tampered.csv,0.3,2.57,0.755,0.0,0.645083932853717,0.5943110585187327
disclosure_z.csv,0.76,5.14,1.585,0.1253918495297805,0.5907590759075908,0.36487593899385384
fertility.csv,2.0,24.0,6.0,0.0,0.0,0.0
fishcatch.csv,0.63,5.06,2.53,0.5435897435897435,1.0,0.9956521739130435
fri_c0_1000_10.csv,0.1,1.2,0.35,0.8511530398322851,0.8827292110874201,0.862018024714299
fri_c0_1000_25.csv,0.1,0.5,0.2,0.8611713665943601,0.8771186440677966,0.8683241458307233
fri_c0_1000_5.csv,0.1,0.9,0.2,0.8507295173961841,0.8800834202294057,0.8642241379310345
fri_c0_1000_50.csv,0.1,0.5,0.2,0.8658823529411764,0.9129464285714286,0.8882476571965482
fri_c0_100_10.csv,1.0,17.0,3.5,0.0,0.9285714285714286,0.7051033591731266
fri_c0_100_25.csv,1.0,13.0,3.0,0.0,0.9894736842105264,0.7022712524334848
fri_c0_100_5.csv,1.0,4.0,2.5,0.7050359712230215,0.9306930693069309,0.8877434135166093
fri_c0_100_50.csv,1.0,12.0,6.0,0.0,1.0,0.7821242294926505
fri_c0_250_10.csv,0.4,2.0,0.8,0.8235294117647058,0.8782608695652174,0.8442519364044028
fri_c0_250_25.csv,0.4,4.8,0.6000000000000001,0.6435643564356436,0.9082969432314412,0.8893783651492903
fri_c0_250_5.csv,0.4,3.6,1.4,0.7927927927927928,0.8660714285714286,0.8344900187149096
fri_c0_250_50.csv,0.4,4.8,0.8,0.645367412140575,0.9813084112149532,0.9188759278897136
fri_c0_500_10.csv,0.2,1.0,0.2,0.8571428571428571,0.8755186721991701,0.87121571105144
fri_c0_500_25.csv,0.2,3.4,0.5,0.0087719298245614,0.8763557483731019,0.8655244784307206
fri_c0_500_5.csv,0.2,1.2,0.4,0.8310502283105022,0.8708971553610503,0.8504273504273504
fri_c0_500_50.csv,0.2,1.0,0.4,0.8949771689497716,0.9263657957244656,0.9149425287356322
fri_c1_1000_10.csv,0.2,0.6,0.4,0.7410972088546679,0.8093994778067886,0.7482724580454096
fri_c1_1000_25.csv,0.1,13.3,0.2,0.7062634989200864,0.7861471861471861,0.7557696571122013
fri_c1_1000_5.csv,0.1,0.4,0.2,0.698284561049445,0.8598130841121495,0.7401415047099507
fri_c1_1000_50.csv,0.1,0.6,0.2,0.7156363636363636,0.8152866242038217,0.7910028116213683
fri_c1_100_10.csv,1.0,11.0,6.0,0.0769230769230769,0.8141592920353983,0.7215496368038741
fri_c1_100_25.csv,1.0,13.0,2.5,0.0,0.945054945054945,0.8271848924022838
fri_c1_100_5.csv,1.0,13.0,2.0,0.0,0.8571428571428571,0.780909090909091
fri_c1_100_50.csv,1.0,32.0,4.0,0.0,0.8288288288288288,0.7513440860215054
fri_c1_250_10.csv,0.4,7.2,1.6,0.6956521739130435,0.7744360902255639,0.7606708156633806
fri_c1_250_25.csv,0.4,6.4,0.8,0.2732919254658385,0.7933333333333333,0.7430167597765364
fri_c1_250_5.csv,0.4,4.8,1.2000000000000002,0.0,0.7786885245901639,0.7155125341275751
fri_c1_250_50.csv,0.4,10.4,2.8,0.0,0.8482490272373541,0.7684129429892141
fri_c1_500_10.csv,0.2,1.8,0.4,0.68,0.8266666666666667,0.755656108597285
fri_c1_500_25.csv,0.2,1.6,0.2,0.7218390804597701,0.8030018761726079,0.7601809954751131
fri_c1_500_5.csv,0.2,3.4,0.6,0.6716791979949874,0.8509719222462203,0.7944664031620553
fri_c1_500_50.csv,0.2,4.0,0.4,0.7456140350877193,0.8523908523908524,0.7928286852589641
fri_c2_1000_10.csv,0.1,0.3,0.2,0.7563764291996482,0.855787476280835,0.8490060932973729
fri_c2_1000_25.csv,0.1,0.7,0.2,0.7667386609071274,0.856,0.8098124098124098
fri_c2_1000_5.csv,0.1,0.6,0.3,0.8385269121813032,0.9287020109689214,0.8680484618920166
fri_c2_1000_50.csv,0.1,0.4,0.2,0.7954939341421143,0.8277227722772277,0.8086710650329878
fri_c2_100_10.csv,1.0,19.0,1.5,0.0384615384615384,0.8913043478260869,0.7461350068881065
fri_c2_100_25.csv,1.0,12.0,2.0,0.0,0.9158878504672896,0.7323943661971831
fri_c2_100_5.csv,1.0,18.0,3.0,0.475,0.8648648648648649,0.8173913043478261
fri_c2_100_50.csv,1.0,14.0,1.5,0.0,0.9902912621359224,0.9174033846931042
fri_c2_250_10.csv,0.4,2.8,0.4,0.7637362637362637,0.8814814814814815,0.8551348029802597
fri_c2_250_25.csv,0.4,4.0,0.8,0.0,0.842911877394636,0.7851239669421488
fri_c2_250_5.csv,0.4,4.4,0.8,0.6956521739130435,0.856,0.7933884297520661
fri_c2_250_50.csv,0.4,30.8,0.8,0.0902255639097744,0.8905660377358491,0.8653280673431734
fri_c2_500_10.csv,0.2,3.4,0.7,0.7124463519313304,0.8528301886792453,0.8380222327590748
fri_c2_500_25.csv,0.2,1.4,0.5,0.7534626038781164,0.8058608058608059,0.7695331609476553
fri_c2_500_5.csv,0.4,0.8,0.5,0.757085020242915,0.9258589511754068,0.8238759735880657
fri_c2_500_50.csv,0.2,0.8,0.4,0.8167330677290837,0.875,0.8505778342135106
fri_c3_1000_10.csv,0.1,0.7,0.15000000000000002,0.7116935483870968,0.8380952380952381,0.7907460897270855
fri_c3_1000_25.csv,0.1,0.9,0.35,0.70625,0.7789046653144016,0.7543302377084293
fri_c3_1000_5.csv,0.1,0.9,0.30000000000000004,0.7467588591184097,0.8944337811900192,0.8125688657334227
fri_c3_1000_50.csv,0.1,0.4,0.2,0.7302631578947368,0.8148148148148148,0.7870722433460076
fri_c3_100_10.csv,1.0,6.0,2.0,0.7323943661971831,0.7936507936507936,0.7594756340837845
fri_c3_100_25.csv,1.0,5.0,2.0,0.6956521739130435,0.9333333333333332,0.8282828282828283
fri_c3_100_5.csv,1.0,20.0,2.5,0.0,0.8648648648648649,0.7368265537279621
fri_c3_100_50.csv,1.0,11.0,2.5,0.0,0.9203539823008848,0.8032407407407407
fri_c3_250_10.csv,0.4,10.8,0.6000000000000001,0.0,0.7666666666666667,0.7164192294096854
fri_c3_250_25.csv,0.4,5.2,1.6,0.7106017191977078,0.8120300751879699,0.7536146567691357
fri_c3_250_5.csv,0.4,4.4,2.0,0.6875,0.8252788104089219,0.7673051419821446
fri_c3_250_50.csv,0.4,4.4,1.2,0.7106017191977078,0.8498168498168498,0.7575515483527353
fri_c3_500_10.csv,0.2,2.4,0.6,0.6372881355932203,0.75390625,0.722117202268431
fri_c3_500_25.csv,0.2,1.8,0.4,0.7288135593220338,0.7814113597246127,0.7570853257127766
fri_c3_500_5.csv,0.2,1.8,0.5,0.2323943661971831,0.8483412322274881,0.7995395825976896
fri_c3_500_50.csv,0.2,2.0,0.4,0.7161198288159771,0.84375,0.7757572684246112
fri_c4_1000_10.csv,0.1,1.6,0.1,0.7271111111111112,0.8382352941176471,0.7573313529757175
fri_c4_1000_100.csv,0.1,10.5,0.1,0.8068756319514662,0.8309178743961353,0.8241308793456033
fri_c4_1000_25.csv,0.1,1.1,0.2,0.6923925027563396,0.8084730803177406,0.7267709291628335
fri_c4_1000_50.csv,0.1,12.4,0.3,0.7634763476347635,0.814382896015549,0.7781094527363184
fri_c4_100_10.csv,2.0,13.0,3.5,0.0,0.7850467289719626,0.7096608427543679
fri_c4_100_100.csv,1.0,13.0,4.5,0.0,0.9361702127659576,0.6805555555555556
fri_c4_100_25.csv,1.0,25.0,3.5,0.0,0.9375,0.8841647770219199
fri_c4_100_50.csv,1.0,45.0,5.5,0.0,0.8333333333333334,0.717634331049405
fri_c4_250_10.csv,0.4,4.4,2.2,0.5445026178010471,0.7457627118644068,0.694841012329656
fri_c4_250_100.csv,0.4,9.2,1.0,0.6831683168316832,0.928,0.8461950163052949
fri_c4_250_25.csv,0.8,5.6,1.4,0.0158730158730158,0.7799227799227799,0.7304761904761905
fri_c4_250_50.csv,0.8,26.4,2.0,0.0,0.8446215139442231,0.7315175097276264
fri_c4_500_10.csv,0.2,0.8,0.5,0.7032520325203252,0.7900763358778626,0.7376736738438866
fri_c4_500_100.csv,0.2,1.6,0.4,0.7261724659606656,0.8981132075471698,0.8028787992700481
fri_c4_500_25.csv,0.2,4.6,1.1,0.7323943661971831,0.8419047619047619,0.7756813417190775
fri_c4_500_50.csv,0.2,2.2,1.0,0.6822840409956076,0.8223938223938224,0.7708703374777975
fruitfly.csv,0.8,15.2,5.6,0.0,0.495049504950495,0.0
german.csv,0.2,0.6,0.5,0.8457059679767104,0.8516483516483516,0.849493487698987
glass2.csv,0.61,6.75,1.23,0.6161137440758294,0.8125,0.75
grub-damage.csv,0.65,6.45,1.29,0.8189655172413793,0.8720379146919431,0.8584905660377359
haberman.csv,0.33,10.46,1.63,0.0,0.3366336633663366,0.0
heart-statlog.csv,0.37,2.59,0.37,0.8405797101449275,0.8815165876777251,0.8567057260780873
heart_c.csv,0.33,2.64,0.495,0.8709677419354839,0.8945686900958466,0.8831138471129121
heart_h.csv,0.34,1.02,0.51,0.8548812664907651,0.9090909090909092,0.8851694915254238
heart_statlog.csv,0.37,3.7,0.74,0.8374384236453202,0.8720379146919431,0.8584625322997417
house_votes_84.csv,0.23,1.84,0.46,0.9320388349514565,0.9838187702265372,0.9686099634948739
humandevel.csv,1.54,15.38,4.62,0.8695652173913043,0.9090909090909092,0.8925619834710744
ilpd.csv,0.34,2.57,0.86,0.0,0.0,0.0
ionosphere.csv,0.28,4.84,0.425,0.933649289099526,0.9852941176470588,0.9606144437973207
iris.csv,0.67,11.33,3.0,1.0,1.0,1.0
kc1-binary.csv,0.69,19.31,3.45,0.8021978021978022,0.8974358974358975,0.8481012658227848
kc1-top5.csv,0.69,4.14,1.38,0.9682539682539684,0.984251968503937,0.9723320158102768
kc2.csv,0.19,2.49,0.19,0.421875,0.5,0.4748201438848921
kc3.csv,0.44,2.4,0.55,0.0,0.4705882352941176,0.1
lowbwt.csv,0.53,16.4,2.12,0.0,0.9,0.8798084471659602
lsvt.csv,0.79,15.87,0.79,0.7914438502673797,1.0,0.986388888888889
lungcancer_GSE31210.csv,1.77,8.41,5.09,0.0,0.5882352941176471,0.0
machine_cpu.csv,0.48,5.74,2.39,0.896551724137931,0.9375,0.919967987194878
mc2.csv,0.62,6.21,1.865,0.0,0.6111111111111112,0.41875
molecular-biology_promoters.csv,0.94,11.32,2.83,0.0392156862745098,1.0,0.9786848072562357
molecular_biology_promoters.csv,0.94,4.72,1.89,0.6896551724137931,1.0,0.9891188645771734
monk1.csv,0.18,1.98,0.45,0.6516007532956686,0.8764044943820225,0.7576871657754011
monk2.csv,0.17,0.67,0.33,0.0,0.7671957671957672,0.7423822714681441
monk3.csv,0.54,1.62,1.08,0.8808510638297873,0.9922178988326849,0.9090039786213138
monks-problems-1.csv,0.18,4.14,0.72,0.74,1.0,0.8942115768463074
monks-problems-2.csv,0.17,4.16,0.83,0.0,0.7688311688311689,0.0
monks-problems-3.csv,0.36,1.08,0.72,0.9664694280078896,0.9884169884169884,0.977443208212439
mu284.csv,0.35,3.17,1.06,0.9921875,1.0,0.9960629311012943
mux6.csv,1.56,18.75,3.91,0.3908045977011494,0.9734513274336284,0.8135593220338984
mw1.csv,0.25,4.71,2.23,0.0,0.3333333333333333,0.0
newton_hema.csv,0.71,14.29,3.57,0.6524064171122995,0.7910447761194029,0.7316503038803179
no2.csv,0.2,4.8,0.6,0.0,0.6653225806451613,0.6256018035671018
oil_spill.csv,1.39,9.5,1.71,0.0,0.4166666666666667,0.1860465116279069
parkinsons.csv,0.51,3.59,1.03,0.9065743944636678,0.946236559139785,0.9420289855072465
pc1_req.csv,0.31,5.94,0.94,0.7949260042283298,0.8100208768267223,0.8024948024948025
pima.csv,0.13,1.56,0.39,0.6359223300970874,0.6794871794871795,0.6625258799171843
planning-relax.csv,1.1,9.89,4.4,0.0,0.4117647058823529,0.0
plasma_retinol.csv,0.95,9.84,2.7,0.0,0.5822784810126582,0.18818772710988274
pm10.csv,0.2,3.6,0.6,0.0772532188841201,0.6567164179104478,0.5105263157894737
prnn_crabs.csv,0.5,6.5,1.25,0.0,1.0,0.994475138121547
prnn_synth.csv,0.4,3.6,1.6,0.827906976744186,0.8717948717948718,0.8621528442827044
profb.csv,0.3,2.68,0.6699999999999999,0.0,0.2570281124497992,0.0420560747663551
promoters.csv,0.94,26.42,3.3049999999999997,0.942528735632184,1.0,0.989431527422405
pwLinear.csv,0.5,12.0,1.0,0.6363636363636364,0.9257142857142856,0.9159318839604227
qualitative-bankruptcy.csv,0.4,3.6,1.2,0.6746268656716418,0.9850746268656716,0.9253637865785407
rabe_266.csv,0.83,10.0,2.5,0.954954954954955,0.9743589743589745,0.9642857142857144
rmftsa_ctoarrivals.csv,0.38,3.79,1.14,0.5935483870967742,0.7455621301775148,0.7216494845360825
rmftsa_ladata.csv,0.2,1.77,0.49,0.868421052631579,0.8958837772397095,0.8850184655269402
sa-heart.csv,0.22,1.95,0.76,0.0,0.6030534351145038,0.5565436153671448
saheart.csv,0.22,4.55,0.54,0.0,0.6076923076923076,0.529552593273577
sensory.csv,0.17,17.88,1.04,0.0,0.4137931034482758,0.247191011235955
servo.csv,0.6,4.19,1.2,0.8611111111111112,0.9014084507042254,0.88
sleuth_case2002.csv,0.68,20.41,4.08,0.0,0.7153284671532847,0.625
sonar.csv,0.48,1.44,0.48,0.865979381443299,0.9805825242718448,0.9372560153311094
stock.csv,0.11,4.42,0.11,0.8843683083511777,0.903954802259887,0.8994974874371859
strikes.csv,0.16,2.72,0.8,0.0,0.7721739130434783,0.7231553160772546
synthetic_control.csv,0.67,2.83,1.5,1.0,1.0,1.0
tae.csv,0.66,13.91,4.305,0.7837837837837838,0.8469387755102041,0.7973214285714285
tecator.csv,0.42,10.0,0.83,0.975,0.9961685823754788,0.9853905160390516
thoracic-surgery.csv,0.43,1.49,0.64,0.9139922978177152,0.9222929936305732,0.9201281712085134
thoracic_surgery.csv,0.21,2.55,0.32,0.9167733674775927,0.9263959390862944,0.9208173690932312
threeOf9.csv,0.2,0.39,0.2,0.8269230769230769,0.9739952718676124,0.87909926633077
tic-tac-toe.csv,0.1,0.94,0.1,0.7918710581639804,0.8346094946401225,0.8091042584434655
tic_tac_toe.csv,0.1,1.77,0.21,0.8137108792846498,0.8412213740458016,0.8205487866840675
tokyo1.csv,0.1,0.83,0.21,0.936685288640596,0.955736224028907,0.9528507417786856
transplant.csv,0.76,13.74,3.4349999999999996,0.0,1.0,1.0
triazines.csv,0.54,5.38,0.54,0.7348484848484849,0.8866995073891626,0.863849765258216
veteran.csv,0.73,19.71,4.38,0.0,0.576271186440678,0.0
vinnie.csv,1.05,2.89,2.11,0.844574780058651,0.8579710144927536,0.8498583569405099
visualizing_environmental.csv,0.9,9.91,3.1500000000000004,0.0,0.7321428571428571,0.6964250248262165
visualizing_galaxy.csv,0.31,3.72,0.62,0.5549738219895288,0.9629629629629628,0.9575289575289576
visualizing_livestock.csv,1.54,16.15,5.765000000000001,0.0,0.0,0.0
vowel.csv,0.2,4.65,0.51,0.9841463414634146,0.994475138121547,0.9896024464831804
wdbc.csv,0.18,1.05,0.35,0.981132075471698,0.9895287958115184,0.9882209027434163
wholesale-customers.csv,0.23,2.95,0.45,0.8648648648648649,0.8949416342412452,0.8699186991869918
wine.csv,0.56,14.61,1.12,0.9947643979057592,1.0,1.0
wisconsin.csv,0.52,6.7,1.03,0.5777777777777777,0.7085714285714285,0.6582278481012658
xd6.csv,0.21,0.92,0.31,0.6990291262135923,0.776595744680851,0.7385740402193784
